"subtitle.id","token","n.excl","n.interr","n.neg","n.afirm"
73,"bestia",0,0,0,0
73,"controlar",0,0,0,0
73,"pequeno",0,0,0,0
73,"reunirno",0,0,0,0
73,"lugar",0,0,0,0
74,"escuadron",0,0,0,0
74,"dirk",0,0,0,0
74,"marlene",0,0,0,0
74,"klaus",0,0,0,0
74,"enfrentar",0,0,0,0
74,"titan",0,0,0,0
74,"menor",0,0,0,0
75,"fallecer",0,0,0,0
75,"primero",0,0,0,0
75,"lanzamiento",0,0,0,0
76,"palabra",0,0,0,0
76,"parte",0,0,0,0
76,"interior",0,0,0,0
76,"muralla",0,0,0,0
76,"quedar",0,0,0,0
76,"recluta",0,0,0,0
77,"capitan",0,0,0,0
77,"levi",0,0,0,0
78,"ser",1,0,0,0
78,"fin",1,0,0,0
79,"erwin",0,1,0,0
79,"tener",0,1,0,0
79,"alguno",0,1,0,0
79,"plan",0,1,0,0
80,"grita",1,0,0,0
80,"eren",1,0,0,0
81,"no",1,0,1,0
81,"acercar",1,0,1,0
81,"mas",1,0,1,0
81,"muralla",1,0,1,0
82,"ver",1,0,0,0
83,"ignorar",0,1,0,0
84,"hacer",0,1,0,0
84,"jean",0,1,0,0
84,"paso",0,1,0,0
85,"saber",0,0,0,0
86,"eren",1,0,0,0
86,"ver",1,0,0,0
86,"detener",1,0,0,0
86,"pierna",1,0,0,0
87,"ir",0,1,0,0
87,"derrotar",0,1,0,0
88,"vapor",0,0,0,0
88,"inutilizar",0,0,0,0
88,"equipo",0,0,0,0
88,"maniobra",0,0,0,0
89,"verdad",0,1,0,0
90,"saber",0,0,0,0
91,"tener",0,0,0,0
91,"probar",0,0,0,0
91,"podar",0,0,0,0
92,"revelarer",1,0,0,0
92,"punto",1,0,0,0
92,"debil",1,0,0,0
93,"encargo",0,0,0,0
93,"distraiganlo",0,0,0,0
94,"connie",0,0,0,0
94,"lanza",0,0,0,0
94,"relampacer",0,0,0,0
96,"armin",0,0,0,0
96,"observalo",0,0,0,0
96,"distancia",0,0,0,0
97,"dejar",0,0,0,0
97,"llorar",0,0,0,0
98,"confiar",0,0,0,0
98,"encontraras",0,0,0,0
98,"alguno",0,0,0,0
98,"pista",0,0,0,0
99,"ahora",2,0,0,0
99,"dispersense",2,0,0,0
100,"no",0,0,0,0
100,"mire",0,0,0,0
100,"desprecio",0,0,0,0
101,"unico",1,0,0,0
101,"poder",1,0,0,0
101,"ser",1,0,0,0
101,"ser",1,0,0,0
101,"enorme",1,0,0,0
102,"empujar",1,0,0,0
103,"ir",2,0,0,0
103,"eren",2,0,0,0
103,"tumbalo",2,0,0,0
104,"tener",0,0,0,0
104,"haber",0,0,0,0
104,"alguno",0,0,0,0
104,"forma",0,0,0,0
105,"eh",0,1,0,0
106,"eren",1,0,0,0
107,"ser",0,1,0,0
107,"eren",0,1,0,0
108,"enviar",0,1,0,0
108,"volar",0,1,0,0
108,"alto",0,1,0,0
108,"muralla",0,1,0,0
109,"eren",0,0,1,0
109,"no",0,0,1,0
109,"mover",0,0,1,0
110,"no",0,0,0,0
110,"morir",0,0,0,0
110,"centratar",0,0,0,0
110,"monstruo",0,0,0,0
110,"tener",0,0,0,0
110,"delante",0,0,0,0
111,"acercar",0,0,0,0
111,"demasiado",0,0,0,0
112,"ser",0,0,1,0
112,"pasar",0,0,1,0
112,"no",0,0,1,0
112,"tener",0,0,1,0
112,"plan",0,0,1,0
113,"no",0,0,1,0
