"n","start","end","subtitle"
123,662.017,664.187,"Bicho raro!"
124,665.477,667.777,"Es una provocación muy simple."
125,668.127,670.737,"Pero si las lanzas relámpago le dan…"
126,691.547,692.857,"Chicos!"
127,693.787,695.407,"No funciona."
128,695.407,698.467,"Ese vapor repele las lanzas relámpago."
129,700.477,701.427,"Connie!"
130,701.427,704.347,"Inhalé un poco y me quemé la garganta."
131,705.417,707.607,"Mikasa! Estás sangrando."
132,707.607,711.447,"Estoy bien, solo me rozó un pedazo de las lanzas."
133,711.447,712.987,"Se te ocurrió algo?"
134,714.927,717.507,"Podemos contraatacar de algún modo?"
135,721.547,722.877,"No."
136,739.967,744.977,"Información pública actualmente"
137,739.967,744.977,"Vapor caliente del titán colosal Se cree que lo genera al quemar tejido muscular y, por tanto, es limitado."
138,758.857,761.627,"El titán bestia está apuntando hacia aquí."
139,761.627,763.907,"No tardará en llenar esto de agujeros."
140,764.947,769.717,"Si no nos queda forma de contraatacar,"
141,769.717,771.657,"preparemos la huida."
142,772.277,774.377,"Ve a despertar a Eren."
143,774.687,777.427,"Súbete a él con unos cuantos más y huyan."
144,778.077,780.427,"Que sobreviva alguien."
145,781.857,783.927,"Huyeron unos caballos."
146,784.367,785.937,"Tú estabas al cargo!"
147,785.937,788.307,"Cállate! Ya no sirven de nada!"
148,788.307,789.517,"Cómo dices?"
149,790.107,793.967,"Los más fuertes de la Legión murieron en un instante."
150,794.417,796.497,"Tú también lo sabes!"
151,796.807,799.147,"Aunque protejamos a los caballos,"
152,799.527,802.787,"no quedará nadie que vuelva a casa en ellos!"
153,807.787,810.147,"Entendía la lógica."
154,810.707,816.737,"Si nos quedábamos en las murallas, un día los titanes nos aniquilarían."
155,817.257,820.437,"Alguien tenía que actuar, aunque fuera peligroso."
156,821.037,827.097,"Hace falta gente capaz de sacrificarse para no sacrificar a otros."
157,827.447,830.117,"Quiénes serán esos valerosos soldados?."
158,830.117,832.357,"Cuando preguntaron eso…"
159,832.677,836.857,"pensé que yo era uno."
160,837.727,842.297,"Pero no esperaba que mi muerte"
161,842.997,847.077,"no fuera a tener sentido alguno."
162,847.877,853.507,"En comparación, hay mucha más gente que muere en vano que no."
163,854.217,859.947,"Por qué pensé que yo iba a ser diferente?"
164,865.347,869.307,"Y si hacemos que los reclutas y los del escuadrón de Hange restantes"
165,869.657,871.347,"se dispersaran en caballo?"
166,871.667,875.727,"Eren saldrá corriendo mientras los distraen."
167,876.507,879.357,"Qué harás tú, Levi?"
168,879.927,883.117,"Enfrentarme al titán bestia. Si lo atrai…"
169,883.347,886.617,"Imposible. No podrás ni acercarte."
170,887.187,888.437,"Me lo imagino."
171,888.967,893.627,"Pero si Eren y tú regresan con vida, aún habrá esperanza."
172,894.107,897.417,"No crees que llegamos a ese punto?"
173,898.457,899.857,"Es una gran derrota."
174,900.617,906.127,"Si te soy sincero, creo que no sobrevivirá nadie."
175,907.077,910.907,"Sí. Si no hubiera ninguna forma de contraatacar."
176,914.837,915.937,"Y la hay?"
177,916.617,917.857,"Sí."
178,918.267,920.147,"Por qué no lo dijiste antes?"
179,920.647,923.277,"Por qué te callaste con esa cara de asco?"
180,924.127,925.817,"Si esto sale bien,"
181,926.247,929.617,"es posible que puedas matar al titán bestia."
182,930.147,934.217,"Sacrificando mi vida y la de los reclutas."
183,939.507,941.147,"Tienes razón."
184,941.857,944.617,"De todos modos, la mayoría moriremos aquí."
185,945.987,949.857,"Es mucho más probable que muramos todos."
