"subtitle.id","subtitle","n.excl","n.interr","n.neg","n.afirm","joy","anger","anticipation","disgust","fear","sadness","surprise","trust","negative","positive","start","end","n.coincidencias"
53," ¡Lleven a los caballos hasta la muralla! ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,369.217,371.767,1
54," ¡Recibido! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,372.727,373.897,0
55," ¡Rápido! ¡Aprovechen las coberturas! ",2,0,0,0,0,0,0,0,0,0,1.69,0,0,2.645,375.507,378.197,2
56," ¡Levántate! ¿Es que quieres morir? ",1,1,0,0,0,0,0,0,1.1,0.81,0,0,1.1,0,384.167,386.527,1
57," ¡Comandante! ",1,0,0,0,0,0,0,0,0,0,0,1,0,1.15,388.277,389.257,1
58," ¿Situación? ",0,1,0,0,0,0,1.15,0.95,1,0.9,0,0,1,0,390.457,391.497,1
59," La peor posible. ",0,0,0,0,0,0,0,0,1,1,0,0,1,0,391.967,393.317,1
60," Esas piedras hicieron pedazos
las casas delanteras. ",0,0,0,0,0,1,0,0,0,0,0,0,1,1,393.317,396.607,2
61," Si continúa lanzando,
dejará esta zona desierta. ",0,0,0,0,0,0,2,0,0,0,0,1,0,2,397.027,400.717,2
62," Nos dejará sin escondites. ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,400.717,403.007,0
63," ¿No podemos huir
al otro lado de la muralla? ",0,1,0,0,0,0,1.15,0,1,0.9,0,0,2,0,403.547,406.467,2
64," No. ",0,0,0,0,0,0,1,0,0,0,0,0,1,0,406.467,407.347,1
65," El titán colosal se acerca hacia aquí ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,407.687,411.117,1
66," mientras lo prende todo en llamas. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.117,413.707,0
67," Y aunque crucemos la muralla,
los caballos no pueden seguirnos. ",0,0,1,0,0,0,0.95,0,0,0,0,0.95,1.1,0,414.897,419.857,2
68," Aunque aguantemos ahora, no venceremos. ",0,0,1,0,0,0,0.95,0,0,0,0,0,2.2,0,420.437,423.867,2
69," ¿Dónde está Hange? ¿Eren está a salvo? ",0,2,0,0,0.04,0.06,0.24,0.02,0.08,0.06,1.8,0.04,0.06,0.02,424.277,427.367,0
70," No lo sé. ",0,0,0,0,0,0,1,0,0,0,0,0,1,0,428.367,429.757,1
71," Pero muchos sufrieron
la explosión de antes. ",0,0,0,0,1,1,0,0,1,1,1,0,2,1,429.757,432.987,2
72," Sufrimos innumerables bajas. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.617,435.877,0
73," El titán bestia controló a los pequeños
para reunirnos en un lugar. ",0,0,0,0,0,1,0,0,1,0,0,0,1,0,436.967,442.417,1
74," Los escuadrones de Dirk, Marlene y Klaus
se enfrentaban a los titanes menores ",0,0,0,0,0,0,0,1,0,0,0,0,1,0,442.987,449.057,1
75," y fallecieron en el primer lanzamiento. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.457,451.817,0
76," En otras palabras, en la parte interior
de la muralla quedamos los reclutas, ",0,0,0,0,0,0,0,1,0,0,0,2,0,2,452.837,459.357,2
77," el capitán Levi y yo. ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,459.767,463.707,1
78," ¡Es el fin! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,468.857,470.867,0
79," Erwin, ¿tienes algún plan? ",0,1,0,0,0,0,1.15,0,0,0,0,0,0,0,470.867,474.167,1
80," ¡Grita, Eren! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,477.927,479.247,0
81," ¡Que no se acerque más a la muralla! ",1,0,1,0,0,0,1.045,0,0,0,0,0,1.21,0,479.247,481.917,1
82," ¡Nos vio! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,490.817,491.807,0
83," ¿Nos ignora? ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,496.077,498.637,0
84," ¿Qué hacemos, Jean? A este paso… ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,499.077,501.687,0
85," Lo sé. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.077,503.467,0
86," ¡Eren, ve a detener sus piernas! ",1,0,0,0,0,0,0,0,0,0,0,0,1.1,0,503.467,506.447,1
87," ¿Cómo vamos a derrotarlo? ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,509.767,512.617,0
88," El vapor inutiliza
el equipo de maniobras. ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,513.037,515.957,1
