"subtitle.id","subtitle","n.excl","n.interr","n.neg","n.afirm","joy","anger","anticipation","disgust","fear","sadness","surprise","trust","negative","positive","start","end","n.coincidencias"
220," ¡En fila! ",1,0,0,0,0,1.15,0,0,0,0,0,0,1.1,0,1149.377,1151.077,1
221," Cargaremos
contra el titán bestia a caballo. ",0,0,0,0,0,1,0,0,1,0,0,1,1,0,1153.257,1158.427,2
222," Naturalmente,
seremos una diana perfecta. ",0,0,0,0,1,0,1,0,0,0,0,1,0,1,1158.427,1161.687,1
223," Dispararemos bengalas de humo
cuando vaya a lanzar una piedra ",0,0,0,0,0,1,1,0,0,0,0,0,2,1,1162.547,1167.177,3
224," para disminuir su precisión
cuanto podamos. ",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1167.497,1170.447,2
225," Mientras nosotros llamamos su atención,
Levi matará al titán bestia. ",0,0,0,0,0,2,0,0,2,1,0,0,2,1,1170.877,1175.797,3
226," Ese es el plan. ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1176.117,1177.827,1
228," ¿Que yo me acerque
con el equipo de maniobras? ",0,1,0,0,0,0,0,0,0,0,0,0.95,0,0,1180.107,1183.247,1
229," Está en campo abierto. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1183.657,1185.757,1
230," No hay árboles, casas ni nada que usar. ",0,0,1,0,0.95,0.95,1.9,0.95,0,0,0.95,0.95,1.1,0.95,1185.757,1188.217,2
231," No. ",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1188.657,1189.627,1
232," Hay unos mástiles de la altura perfecta
alineados hasta él. ",0,0,0,0,1,0,1,0,0,0,0,1,0,1,1191.147,1195.017,1
233," Muévete por los titanes
y ataca al titán bestia por sorpresa. ",0,0,0,0,1,2,0,0,3,0,2,0,2,1,1196.657,1201.747,3
234,"  Lo siento.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209.147,1210.657,0
235," Quedándonos aquí
seremos pasto de esas piedras. ",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1218.387,1222.607,1
236," Prepárense de inmediato. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.607,1224.457,0
237," ¿Vamos a morir? ",0,1,0,0,0,0,0,0,1,0.9,0,0,1,0,1225.767,1230.547,1
239," Si vamos a morir de todas formas,
¿nos pide que lo hagamos peleando? ",0,1,0,0,0,0.9,1.15,0,1,0.9,0,0,2,1,1233.347,1239.467,3
241," Si vamos a morir, no importa cómo. ",0,0,1,0,0,0,0.95,0,0.95,0.95,0,0,2.2,0,1241.717,1246.717,2
242," Aunque lo desobedezcamos, dará igual. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246.717,1250.727,0
243," Efectivamente. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251.217,1252.687,0
244," No tiene ningún sentido. ",0,0,0,0,1,0,1,0,0,1,0,1,1,1,1254.347,1256.247,2
245," Ya tengas sueños y esperanzas… ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256.247,1258.767,0
246," Ya vivas una vida feliz… ",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1259.967,1262.777,1
247," O ya te haga pedazos una piedra. ",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1263.767,1266.237,1
248," Todos morimos. ",0,0,0,0,0,0,0,0,1,1,0,0,1,0,1266.927,1268.587,1
249," Entonces, ¿la vida no tiene sentido? ",0,1,1,0,0.9025,0,1.0925,0,0,0.855,0,0.9025,1.1,0.95,1269.927,1272.507,2
250," ¿Nacer no tuvo sentido? ",0,1,1,0,0.9025,0,1.0925,0,0,0.855,0,0.9025,1.1,0.95,1273.307,1276.707,2
251," ¿Nuestros compañeros caídos tampoco? ",0,1,1,0,0.9025,0,0,0,0,0,0,0.9025,1.1,0.95,1277.867,1280.207,2
252," ¿Esos soldados no sirvieron de nada? ",0,1,1,0,0,0.855,1.0925,0,0,0.855,0,0,1.1,0.95,1280.657,1284.367,2
253," ¡No es así! ",1,0,0,0,0,0,1.1,0,0,0,0,0,1.1,0,1285.927,1287.557,1
254," ¡Somos nosotros
los que le damos sentido! ",1,0,0,0,1.15,0,0,0,0,0.9,0,1,0,1.15,1287.557,1290.567,1
255," ¡Solo los vivos ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291.077,1294.067,0
256," podemos pensar en los que perecieron! ",1,0,0,0,0,0,0,0,1.1,0.9,0,0,1.1,0,1294.457,1298.317,1
257," ¡Moriremos aquí y le entregaremos
nuestro sentido a los vivos! ",1,0,0,0,1.15,0,0,0,1.1,1.8,0,1,1.1,1.15,1298.817,1303.307,2
258," ¡Esa es la única forma de resistirse
en este cruel mundo! ",1,0,0,0,0,1.15,0,1.1,1.1,0.9,1.3,0,2.2,2.3,1304.057,1309.577,4
259," ¡Avancen, soldados! ",1,0,0,0,0,1.15,0,0,0,0.9,0,0,0,1.15,1310.127,1311.837,1
260," ¡Griten, soldados! ",1,0,0,0,0,1.15,0,0,0,0.9,0,0,0,1.15,1312.367,1314.337,1
261," ¡Peleen, soldados! ",1,0,0,0,0,1.15,0,0,0,0.9,0,0,0,1.15,1314.727,1317.377,1
262,"  Continuará  ",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1326.977,1329.977,1
263,"  Avance  ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1419.987,1422.487,1
264," Por los amigos
que entregaron su corazón. ",0,0,0,0,2,0,2,0,0,0,0,3,0,3,1420.347,1422.487,3
265," Por los que abandonaron su sueño. ",0,0,0,0,0,0,0,0,1,1,1,0,1,0,1423.047,1425.237,1
266," Correrán por ellos hasta que arda todo. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425.727,1429.587,0
267," Sumidos en el miedo y la confusión. ",0,0,0,0,0,2,1,0,2,1,1,0,2,0,1430.107,1432.287,2
268," Próximo episodio: ""Héroe"". ",0,0,0,0,1,0,1,0,0,0,1,1,0,2,1432.747,1435.237,2
269,"  Héroe  ",0,0,0,0,1,0,1,0,0,0,1,1,0,1,1432.747,1436.667,1
